717121,717121,717121
717121,717121,295110
717121,295110,522216
295110,522216,547028
522216,547028,637718
547028,637718,522216
637718,522216,637718
522216,637718,522216
637718,522216,522216
522216,522216,637718
522216,522216,190424
522216,190424,190424
190424,190424,696113
190424,696113,696113
696113,696113,696113
696113,696113,2
696113,2,696113
2,696113,2
2,696113,696113
696113,696113,318689
696113,318689,696113
318689,696113,696113
696113,696113,420820
696113,420820,696113
420820,696113,696113
696113,696113,755081
696113,755081,755081
755081,755081,755081
755081,755081,326467
755081,326467,326467
326467,326467,326467
326467,326467,623883
326467,623883,623883
623883,623883,326467
623883,326467,326467
326467,326467,752230
326467,752230,752230
752230,752230,752230
752230,752230,283972
752230,283972,283972
283972,283972,283972
283972,283972,752230
283972,752230,283972
752230,283972,752230
283972,752230,127313
752230,127313,504152
127313,504152,504152
504152,504152,127313
504152,127313,630853
127313,630853,127313
630853,127313,504152
127313,630853,630853
630853,630853,630853
630853,630853,586199
630853,586199,630853
586199,630853,630853
630853,630853,2
630853,2,2
2,2,2
2,2,580683
2,580683,79172
580683,79172,580683
79172,580683,604132
580683,604132,389350
604132,389350,580683
389350,580683,389350
580683,389350,389350
389350,389350,389350
389350,389350,98338
389350,98338,525193
98338,525193,525193
525193,525193,525193
525193,525193,50301
525193,50301,337654
50301,337654,644804
337654,644804,425229
644804,425229,635990
425229,635990,425229
635990,425229,425229
425229,425229,476875
425229,476875,476875
476875,476875,684016
476875,684016,425229
684016,425229,425229
425229,425229,117499
425229,117499,425229
117499,425229,425229
425229,425229,425229
425229,425229,601061
425229,601061,425229
601061,425229,337654
425229,337654,337654
337654,337654,395906
337654,395906,395906
395906,395906,395906
395906,395906,394123
395906,394123,117499
394123,117499,395906
117499,395906,425229
395906,425229,425229
425229,425229,511228
425229,511228,117499
511228,117499,380047
117499,380047,380047
380047,380047,380047
380047,380047,425229
380047,425229,425229
425229,425229,529932
425229,529932,380047
529932,380047,380047
380047,380047,315901
380047,315901,425229
315901,425229,425229
425229,425229,302923
425229,302923,302923
302923,302923,302923
302923,302923,686601
302923,686601,686601
686601,686601,686601
686601,686601,477777
686601,477777,477777
477777,477777,477777
477777,477777,468994
477777,468994,468994
468994,468994,468994
468994,468994,601654
468994,601654,601654
601654,601654,601654
601654,601654,24916
601654,24916,24916
24916,24916,498348
24916,498348,24916
498348,24916,24916
24916,24916,24916
24916,24916,88282
24916,88282,24916
88282,24916,24916
24916,24916,170660
24916,170660,65152
170660,65152,170660
65152,170660,65152
170660,65152,65152
65152,65152,170660
65152,170660,115835
170660,115835,711413
115835,711413,711413
711413,711413,340741
711413,340741,340741
340741,340741,340741
340741,340741,318019
340741,318019,701963
318019,701963,701963
701963,701963,701963
701963,701963,318019
701963,318019,318019
318019,318019,318019
318019,318019,406402
318019,406402,406402
406402,406402,406402
406402,406402,634524
406402,634524,634524
634524,634524,720662
634524,720662,720662
720662,720662,720662
720662,720662,413442
720662,413442,413442
413442,413442,672665
413442,672665,90636
672665,90636,90636
90636,90636,90636
90636,90636,672665
90636,672665,90636
90636,672665,672665
672665,672665,90636
672665,90636,672665
90636,672665,529424
672665,529424,529424
529424,529424,529424
529424,529424,714962
529424,714962,714962
714962,714962,714962
714962,714962,715250
714962,715250,714962
715250,714962,715250
715250,714962,714962
714962,715250,403190
715250,403190,338512
403190,338512,452633
338512,452633,597766
452633,597766,139396
597766,139396,338512
139396,338512,326403
338512,326403,338512
326403,338512,150037
338512,150037,338512
150037,338512,338512
338512,338512,338512
338512,338512,716635
338512,716635,716635
716635,716635,549991
716635,549991,348010
549991,348010,549991
348010,549991,716435
549991,716435,624228
716435,624228,716635
624228,716635,716635
716635,716635,12734
716635,12734,549991
12734,549991,134576
549991,134576,134576
134576,134576,134576
134576,134576,2
134576,2,2
2,2,148497
2,148497,148497
148497,148497,603981
148497,603981,603981
603981,603981,2
603981,2,2
2,2,717033
2,717033,717033
